year,month,scope,rainfall_mm,source,normal_mean_mm,anomaly_mm,anomaly_pct,period
1997,12,carbon_project_zone,295.9895,UCSB-CHG/CHIRPS/DAILY,313.3270,-17.3375,-5.5334,1996-2025
1998,1,carbon_project_zone,201.0409,UCSB-CHG/CHIRPS/DAILY,262.9213,-61.8804,-23.5357,1996-2025
1998,2,carbon_project_zone,251.5300,UCSB-CHG/CHIRPS/DAILY,265.2713,-13.7413,-5.1801,1996-2025
1998,3,carbon_project_zone,304.1421,UCSB-CHG/CHIRPS/DAILY,321.3425,-17.2004,-5.3527,1996-2025
1998,4,carbon_project_zone,261.8324,UCSB-CHG/CHIRPS/DAILY,295.0304,-33.1980,-11.2524,1996-2025
1998,5,carbon_project_zone,280.1405,UCSB-CHG/CHIRPS/DAILY,246.7391,33.4014,13.5371,1996-2025
1998,6,carbon_project_zone,352.2478,UCSB-CHG/CHIRPS/DAILY,195.4185,156.8293,80.2530,1996-2025
1998,7,carbon_project_zone,297.0326,UCSB-CHG/CHIRPS/DAILY,134.0310,163.0016,121.6149,1996-2025
1998,8,carbon_project_zone,243.2670,UCSB-CHG/CHIRPS/DAILY,104.2049,139.0621,133.4506,1996-2025
1998,9,carbon_project_zone,231.3862,UCSB-CHG/CHIRPS/DAILY,115.3072,116.0790,100.6693,1996-2025
1998,10,carbon_project_zone,260.2955,UCSB-CHG/CHIRPS/DAILY,222.4467,37.8488,17.0148,1996-2025
1998,11,carbon_project_zone,280.2248,UCSB-CHG/CHIRPS/DAILY,266.0786,14.1462,5.3165,1996-2025
1998,12,carbon_project_zone,239.6165,UCSB-CHG/CHIRPS/DAILY,313.3270,-73.7105,-23.5251,1996-2025
1999,1,carbon_project_zone,331.0903,UCSB-CHG/CHIRPS/DAILY,262.9213,68.1690,25.9275,1996-2025
1999,2,carbon_project_zone,304.1475,UCSB-CHG/CHIRPS/DAILY,265.2713,38.8762,14.6553,1996-2025
1999,3,carbon_project_zone,226.7530,UCSB-CHG/CHIRPS/DAILY,321.3425,-94.5895,-29.4357,1996-2025
1999,4,carbon_project_zone,270.5851,UCSB-CHG/CHIRPS/DAILY,295.0304,-24.4453,-8.2857,1996-2025
1999,5,carbon_project_zone,295.3953,UCSB-CHG/CHIRPS/DAILY,246.7391,48.6562,19.7197,1996-2025
1999,6,carbon_project_zone,187.5355,UCSB-CHG/CHIRPS/DAILY,195.4185,-7.8830,-4.0339,1996-2025
1999,7,carbon_project_zone,188.9302,UCSB-CHG/CHIRPS/DAILY,134.0310,54.8992,40.9601,1996-2025
1999,8,carbon_project_zone,139.0406,UCSB-CHG/CHIRPS/DAILY,104.2049,34.8357,33.4300,1996-2025
1999,9,carbon_project_zone,167.1903,UCSB-CHG/CHIRPS/DAILY,115.3072,51.8831,44.9955,1996-2025
1999,10,carbon_project_zone,443.1252,UCSB-CHG/CHIRPS/DAILY,222.4467,220.6785,99.2051,1996-2025
1999,11,carbon_project_zone,259.6719,UCSB-CHG/CHIRPS/DAILY,266.0786,-6.4067,-2.4078,1996-2025
1999,12,carbon_project_zone,321.8862,UCSB-CHG/CHIRPS/DAILY,313.3270,8.5592,2.7317,1996-2025
2000,1,carbon_project_zone,310.5324,UCSB-CHG/CHIRPS/DAILY,262.9213,47.6111,18.1085,1996-2025
2000,2,carbon_project_zone,246.0302,UCSB-CHG/CHIRPS/DAILY,265.2713,-19.2411,-7.2534,1996-2025
2000,3,carbon_project_zone,351.4487,UCSB-CHG/CHIRPS/DAILY,321.3425,30.1062,9.3689,1996-2025
